Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
hardest keys to press down,"am, expecting, are, press",mechanical,keys,keyboard,NEGATIVE,"I am not expecting mechanical keyboard feedback, but these keys are some of the   hardest keys to press down   for a membrane keyboard.  "
press down the keys,"defeats, have, strain, press",ergonomic,keys,keyboard,NEGATIVE,This defeats half the purpose of an ergonomic keyboard if you have to strain constantly just to   press down the keys  .  
stiffest keys,"have, used","better, mechanical, classic, ergonomic, stiffest",keys,keyboard,NEGATIVE,I would rather type on a better feedback experience (mechanical classic layout) than an ergonomic with the   stiffest keys   of any keyboard I have ever used.  
keys do not spring back,"do, spring, is, typing, is, be","net, comfortable",keys,keyboard,POSITIVE,The   keys do not spring back   very well and the net result is that typing is not as comfortable as it could be.  
keys are worn off badly,are,worn,keys,keyboard,NEGATIVE,In only about 6 months the paint on the   keys are worn off badly  .  
keys quit working,"had, quit, working",several,keys,keyboard,NEGATIVE,It simply had several   keys quit working  .  
keys feel muddy,"feel, sticks","other, muddy, real, good, due",keys,keyboard,POSITIVE,"The other   keys feel muddy   if you will, no real good feedback, and sticks a lot due to the angle your hands rest.  "
keys need a hard press,"are, need, function","good, hard",keys,keyboard,NEGATIVE,Pretty good keyboard only complaints are some of the   keys need a hard press   to function.  
stretching to press the keys,"feels, find, stretching, press",large,keys,keyboard,POSITIVE,"However, the keyboard feels too large, and I often find myself   stretching to press the keys  .  "
keys become progressively smaller,"styling, become, align","bottom, smaller, right",keys,keyboard,NEGATIVE,For styling reasons the bottom row of   keys become progressively smaller   toward the right side in order to visually align with the arrow keys and number pad.  
worthless function keys,"have, used, is, find, lets, want, causing, hurt","older, worthless, only",keys,keyboard,NEGATIVE,"I have used mine (an older version, of course) for over ten years, despite its   worthless function keys  , because it is the only keyboard I can find that lets me type as much as I want without causing my wrists to hurt.  "
sticky the keys,"accept, was, are",sticky,keys,keyboard,NEGATIVE,What I simply could not accept was how   sticky the keys   are.  
keys makes NO sense,makes,top,keys,keyboard,NEGATIVE,The top row of   keys makes NO sense  .  
keys makes me screw up,"is, makes, screw, am, trying","Sorry, cramped, unusual",keys,keyboard,NEGATIVE,"Sorry, but the keyboard is just too cramped and the unusual position of Shift and arrow   keys makes me screw up   pretty much every time I am trying to type a question mark.  "
letters are coming off the keys,"purchased, are, coming, sticks",little,keys,keyboard,NEGATIVE,I purchased this keyboard a little over 3 months ago and already the   letters are coming off the keys   and the spacebar sticks.  
letters had worn off the keys,"was, replacing, had","similar, worn",keys,keyboard,NEGATIVE,I was replacing a similar keyboard where the   letters had worn off the keys  .  
pound on the keys,"s, ve, been, using, have, pound, defeats","least, ergonomic",keys,keyboard,NEGATIVE,"Also, maybe its because Ive been using laptops too long, but I really have to   pound on the keys  , which, for me at least, kind of defeats the purpose of an ergonomic keyboard.  "
keys are much harder to depress,"are, depress","much, harder, most",keys,keyboard,NEGATIVE,The   keys are much harder to depress   than most of the keyboards out there.  
keys are much stiffer,are,"much, stiffer, generic, ergonomic, Natural",keys,keyboard,NEGATIVE,The   keys are much stiffer   than the generic Microsoft ergonomic Natural Keyboard elite.  
keys require a lot of force to press,"feels, require, requires","certain, such, right",keys,keyboard,POSITIVE,"Love the layout and feels better, however certain   keys require a lot of force to press  , such as the space bar (right side requires a lot of force).  "
keys get stuck,"have, appreciated, knowing, get, stuck, have, purchased",different,keys,keyboard,NEGATIVE,I would have appreciated knowing that some   keys get stuck   as I would have purchased a different item.  
keys wears off,"read, lettering, wears",short,keys,keyboard,NEGATIVE,I also read that the lettering on the   keys wears off   after a short time.  
keys to be skipped,"am, blocking, left, cause, be, skipped, typing",remote,keys,keyboard,NEGATIVE,Often if I am blocking the left corner of the remote I will cause   keys to be skipped   while typing.  
keys are not responsive,"are, is, is","responsive, awful, shoddy, best",keys,keyboard,NEGATIVE,"The   keys are not responsive  , the mouse sensitivity is awful and the craftsmanship is shoddy at best.  "
keys is virtually impossible,"Trying, use, being, jolted, is, typing, look, is","impossible, awkward",keys,keyboard,NEGATIVE,Trying to use this without being jolted out of what one is typing to look at the   keys is virtually impossible   because of that awkward split.  
keys are hard to press,"mentioned, are, press, being","other, hard, worst",keys,keyboard,NEGATIVE,"As mentioned in other reviews, the   keys are hard to press   with the space bar being the worst.  "
keys are terrible,"are, are","great, terrible",keys,keyboard,NEGATIVE,"While the layout and features of this keyboard are great, the   keys are terrible  .  "
keys stopped working,"worked, stopped, working, bring","great, random",keys,keyboard,NEGATIVE,"Mine worked great for about a month, then random   keys stopped working  , and no amount of cleaning or tinkering would bring them back.  "
keys require also pressing a function,"has, been, reduced, require, pressing, is","same, awkward, annoying",keys,keyboard,NEGATIVE,"Cons  Keyboard has been reduced in size so much that the PageUp, PageDown, Home and End   keys require also pressing a function   key at the same time which is awkward and annoying.  "
keys simply dont exist,"do, exist, is","much, empty",keys,keyboard,NEGATIVE,But the   keys simply dont exist   even though there is so much empty space on the keyboard.  
keys are shallow,"are, do, provide","shallow, good",keys,keyboard,NEGATIVE,The   keys are shallow   and do not provide good feedback.  
bang those keys hard,"bought, has, y, u, h, j, is, have, get","third, entire, responsive",keys,keyboard,NEGATIVE,"* The third one (bought perhaps 6 months ago for my office) has an entire area of the keyboard (letters y,u,h,j,k,n,m) that is only very faintly responsive, so that you have to   bang those keys hard   to get the letters to type.  "
"keys (I stopped testing at this point), did not work at all","rectifying, plugging, found, enter, stopped, testing, did, work",several,keys,keyboard,NEGATIVE,"After rectifying this and plugging the keyboard in, I found that both shift keys, the return and enter keys, several of the F keys and the media   keys (I stopped testing at this point), did not work at all  .  "
mushy feel to the keys,has,"newest, mushy",keys,keyboard,NEGATIVE,But my newest replacement has a   mushy feel to the keys  no life in them.  
keys have stopped working,"stated, have, stopped, working, s, brought","other, various",keys,keyboard,NEGATIVE,"As stated in other 1 star ratings before, various   keys have stopped working   on my microsoft keyboard and its well under a year since I brought it.  "
too much spring in the keys,have,"little, much",keys,keyboard,NEGATIVE,Some of the keys have a little   too much spring in the keys  .  
keys can be difficult to push down,"meaning, be, push",difficult,keys,keyboard,NEGATIVE,meaning that they   keys can be difficult to push down  .  
keys just dont have a nice response,"do, have, feel","nice, flimsy",keys,keyboard,NEGATIVE,But the   keys just dont have a nice response   and feel very flimsy.  
keys is too far apart,"is, is",biggest,keys,keyboard,NEGATIVE,My biggest issue with the keyboard is that the spacing of the   keys is too far apart  .  
"keys are not as ""soft""",are,"soft, previous",keys,keyboard,NEGATIVE,"The   keys are not as ""soft""   as my previous Microsoft Natural Elite for CTX.  "
keys seem pretty flimsy,seem,"other, flimsy",keys,keyboard,NEGATIVE,The other   keys seem pretty flimsy   too.  
keys that it makes the keyboard awkward,"rearrange, Insert, Delete, makes","many, interesting, ergonomic, awkward",keys,keyboard,NEGATIVE,"So many of the interesting models of ergonomic keyboards rearrange the ""Insert"", ""Delete"", ""End"", etc   keys that it makes the keyboard awkward  .  "
ake the arrow keys awkward,"is, make, keys, moving, are, aligned, seen","common, awkward, right, down, common",keys,keyboard,NEGATIVE,Another common mistake is the keyboard vendors   ake the arrow keys awkward   by moving the left and right arrow keys upward so that they are not aligned with the down arrow key as seen on the common standard.  
keys simply do not work,"is, be, checked, is, is, do, work",normal,keys,keyboard,NEGATIVE,"However there is an F lock key that should be checked, and is normal, but this simply isnt the case as the   keys simply do not work  .  "
keyboard has too many keys,"tell, control, is, has, is, affecting","Many, many",keys,keyboard,NEGATIVE,"Many KVM vendors will tell you that if you can not control your computer past POST and before boot, it is because the   keyboard has too many keys   and it is affecting the KVM.  "
keys dont work right,is,"nice, dont",keys,keyboard,NEGATIVE,It is a very nice keyboard but some of the   keys dont work right  .  
keys are hard to press,"are, press, has, slowed",hard,keys,keyboard,NEGATIVE,They   keys are hard to press   so my typing has slowed down quite a bit.  
